runway_vw.813|813|LRE|02/20|1100|20|TIE|NIL|709|POLYGON ((-64.88364647526502 -26.72799994661205, -64.88344952470466 -26.728036053319048, -64.88546551756527 -26.736902055083725, -64.88566248240444 -26.736865944847338, -64.88364647526502 -26.72799994661205))
runway_vw.221|221|GOC|04/22|800|20|TIE|ILE|191|POLYGON ((-59.831278814314736 -33.66586853393017, -59.831121185646154 -33.66599146597944, -59.83701118557732 -33.67127146972768, -59.83716881438439 -33.671148530181334, -59.831278814314736 -33.66586853393017))
runway_vw.226|226|GPF|18/36|650|15|TIE|NIL|196|POLYGON ((-63.717982653813856 -35.676440526384226, -63.71813734618433 -35.67643947356607, -63.718077340522306 -35.67056947366993, -63.71792265947586 -35.670570526280386, -63.717982653813856 -35.676440526384226))
runway_vw.805|805|AMA|05/23|850|30|TIE|NIL|15|POLYGON ((-62.01333230303355 -35.097621504618544, -62.013101696694314 -35.09781449526567, -62.019812696664935 -35.10323050156868, -62.02004330306287 -35.10303749831555, -62.01333230303355 -35.097621504618544))
runway_vw.513|513|MRD|01/19|799|23|TIE|NIL|429|POLYGON ((-59.454835868218915 -34.635413649178176, -59.45460013175598 -34.63545035068912, -59.456352121462885 -34.64313735280797, -59.45658787851213 -34.64310064705919, -59.454835868218915 -34.635413649178176))
runway_vw.514|514|MRD|09/27|660|30|TIE|NIL|429|POLYGON ((-59.45110507840241 -34.63845739290356, -59.451154921724 -34.638724607064674, -59.458192932577695 -34.63782760517533, -59.45814306754931 -34.63756039479251, -59.45110507840241 -34.63845739290356))
runway_vw.525|525|NEC|13/31|799|18|TIE|NIL|439|POLYGON ((-58.80730073428844 -38.494195850743615, -58.807433265832394 -38.4943201492111, -58.814478267318435 -38.48968014522551, -58.814345732802494 -38.48955585472908, -58.80730073428844 -38.494195850743615))
runway_vw.527|527|NEC|18/36|1500|30|ASF|ILE|439|POLYGON ((-58.81656630945483 -38.49629757016819, -58.81690969050568 -38.496282429576354, -58.81594565865406 -38.48277643176021, -58.81560234130646 -38.482791567984485, -58.81656630945483 -38.49629757016819))
runway_vw.802|802|PSA|14/32|1098|26|TIE|NIL|701|POLYGON ((-62.44785592872901 -37.52649598194784, -62.44806607150109 -37.526660017959365, -62.45676907130139 -37.51958701031144, -62.45655892892868 -37.519422989595746, -62.44785592872901 -37.52649598194784))
runway_vw.528|528|NEI|14/32|550|20|TIE|NIL|440|POLYGON ((-58.806797741585356 -38.47719894127942, -58.80663625856368 -38.47707105865638, -58.8022632583819 -38.48048305567452, -58.80242474176708 -38.48061094426137, -58.806797741585356 -38.47719894127942))
runway_vw.535|535|NPA|05/23|765|30|TIE|NIL|86|POLYGON ((-58.79516402427754 -38.5751074702687, -58.79491797540566 -38.57529652960406, -58.799456975521075 -38.578936534327816, -58.79970302416213 -38.578747465544886, -58.79516402427754 -38.5751074702687))
runway_vw.526|526|NEC|17/35|1100|30|TIE|NIL|439|POLYGON ((-58.80794882688297 -38.49479410679079, -58.80829117317454 -38.49481989295302, -58.8094811501484 -38.48506089179444, -58.80913884990909 -38.485035107949415, -58.80794882688297 -38.49479410679079))
runway_vw.537|537|NVR|07/25|820|30|TIE|ILE|448|POLYGON ((-59.28160178799027 -35.02196473040072, -59.281478211852736 -35.022215269558835, -59.28962822272209 -35.024935273260404, -59.289751777121396 -35.02468472669889, -59.28160178799027 -35.02196473040072))
runway_vw.549|549|ORA|01/19|1475|30|ASF|NIL|456|POLYGON ((-64.3275499109345 -23.145900680548948, -64.32726208900482 -23.145951319321856, -64.32965607726027 -23.157586322028084, -64.32994392267899 -23.15753567784265, -64.3275499109345 -23.145900680548948))
runway_vw.552|552|PAL|16/34|2110|50|HOR|ILE|459|POLYGON ((-58.617383458156716 -34.601233939696456, -58.61688254236399 -34.60105605977128, -58.60780249801057 -34.618535042558605, -58.608303502510694 -34.61871295690896, -58.617383458156716 -34.601233939696456))
runway_vw.554|554|PAR|01/19|2100|45|ASF|ILE|461|POLYGON ((-60.47894366020917 -31.785373679539273, -60.478484339637006 -31.785432320019034, -60.48175929349181 -31.804145323515773, -60.48221870635445 -31.80408667604238, -60.47894366020917 -31.785373679539273))
runway_vw.561|561|PDA|10/28|1200|30|TIE|NIL|466|POLYGON ((-65.25307382768854 -24.314372956724576, -65.25305017235802 -24.314103043265604, -65.24129118457968 -24.314968041461633, -65.24131481546652 -24.315237958528705, -65.25307382768854 -24.314372956724576))
runway_vw.563|563|PED|01/19|940|23|TIE|NIL|468|POLYGON ((-59.724750314928976 -33.69914361394474, -59.724517685070765 -33.69918238591201, -59.72651467448907 -33.70755238831159, -59.72674732551088 -33.707513611544925, -59.724750314928976 -33.69914361394474))
runway_vw.564|564|PED|10/28|940|23|TIE|NIL|468|POLYGON ((-59.720768798155284 -33.704784779966865, -59.720815201963674 -33.70497921998897, -59.730632212337106 -33.7033422176353, -59.730585787783085 -33.70314778231977, -59.720768798155284 -33.704784779966865))
runway_vw.569|569|PER|04/22|1200|30|ASF|ILE|473|POLYGON ((-60.644058687637305 -33.91597597396807, -60.643823312080514 -33.91616202589185, -60.654940309427026 -33.92593603633502, -60.655175690291316 -33.92574996352535, -60.644058687637305 -33.91597597396807))
runway_vw.570|570|PER|13/31|870|23|TIE|NIL|473|POLYGON ((-60.649726436327335 -33.92048583688881, -60.64988956378347 -33.920630163047036, -60.6569795650259 -33.91506015843456, -60.656816435085325 -33.914915841501546, -60.649726436327335 -33.92048583688881))
runway_vw.579|579|PLT|10/28|870|30|TIE|NIL|480|POLYGON ((-62.09222755794208 -38.83311624980308, -62.09212644223646 -38.832857750174334, -62.082446458273566 -38.83517374622785, -62.08254754190488 -38.8354322537496, -62.09222755794208 -38.83311624980308))
runway_vw.580|580|PLT|16/34|1000|30|TIE|NIL|480|POLYGON ((-62.08450620031793 -38.83800835543262, -62.08481379995024 -38.83813164436736, -62.08956378869084 -38.83088163804942, -62.089256211577215 -38.83075836175058, -62.08450620031793 -38.83800835543262))
runway_vw.582|582|PNR|09/27|800|30|TIE|ILE|482|POLYGON ((-56.97372735189054 -37.090799881420125, -56.973714648086755 -37.09107011857643, -56.98327366503292 -37.09135811908656, -56.9832863349445 -37.09108788091002, -56.97372735189054 -37.090799881420125))
runway_vw.233|233|GSE|11/29|854|20|TIE|NIL|637|POLYGON ((-56.876961976456386 -29.304719173199643, -56.87698202356088 -29.304898826798446, -56.88570403112844 -29.304150826175096, -56.88568396888885 -29.303971173822973, -56.876961976456386 -29.304719173199643))
runway_vw.236|236|GVA|18/36|725|40|TIE|IPO|204|POLYGON ((-67.72451120385621 -34.978429176283385, -67.72494879610643 -34.97841082332074, -67.72442877376035 -34.97001082376519, -67.72399122620234 -34.97002917583904, -67.72451120385621 -34.978429176283385))
runway_vw.239|239|GYA|02/20|1200|60|TIE|NIL|206|POLYGON ((-59.245855792248555 -29.166284600099914, -59.2452762072109 -29.166469399291714, -59.248063191622684 -29.173202406131725, -59.248642807836646 -29.17301759325973, -59.245855792248555 -29.166284600099914))
runway_vw.671|671|SMT|18/36|749|18|TIE|NIL|552|POLYGON ((-63.591080546273695 -37.962891899871984, -63.59128545372542 -37.96289210003875, -63.591296443922815 -37.95583610011059, -63.591091556076314 -37.9558358998002, -63.591080546273695 -37.962891899871984))
runway_vw.454|454|LLJ|10/28|1600|30|ASF|NIL|384|POLYGON ((-70.32775335068503 -38.540372072278885, -70.32785664950671 -38.54062992769153, -70.34536067721261 -38.536302919549854, -70.34525732297938 -38.536045080420486, -70.32775335068503 -38.540372072278885))
runway_vw.458|458|LNH|12/30|1200|60|TIE|NIL|387|POLYGON ((-71.17133894996519 -41.099459606796856, -71.17170305135744 -41.09992439285946, -71.18251407460846 -41.09507737532843, -71.18214992671457 -41.09461262432721, -71.17133894996519 -41.099459606796856))
runway_vw.462|462|LPR|05/23|600|30|TIE|NIL|390|POLYGON ((-60.77634960750808 -37.517574369270264, -60.776112392166226 -37.51776763058509, -60.783919391821584 -37.5238466383547, -60.78415660785297 -37.52365336150096, -60.77634960750808 -37.517574369270264))
runway_vw.675|675|SQI|01/19|840|25|TIE|NIL|555|POLYGON ((-61.61276141674497 -32.10192264598894, -61.6125125831974 -32.101967353886465, -61.61430657368552 -32.109201355362885, -61.614555426256835 -32.1091566445125, -61.61276141674497 -32.10192264598894))
runway_vw.463|463|LPR|17/35|950|30|TIE|NIL|390|POLYGON ((-60.77640945149627 -37.52291246372856, -60.77674654856646 -37.522943536018715, -60.77770253408852 -37.51636353420128, -60.77736546597422 -37.51633246554608, -60.77640945149627 -37.52291246372856))
runway_vw.678|678|SRE|16/34|1000|30|TIE|ILE|558|POLYGON ((-63.122434028721464 -34.55162944058876, -63.12274597142935 -34.5517105592114, -63.126585954400376 -34.541600554410806, -63.12627404575032 -34.54151944538941, -63.122434028721464 -34.55162944058876))
runway_vw.473|473|LYE|18/36|1200|23|ASF|ILE|397|POLYGON ((-63.36228169142389 -34.140847564718015, -63.36252030857345 -34.140846435166054, -63.362446293385275 -34.130036435334965, -63.36220770661208 -34.13003756454917, -63.36228169142389 -34.140847564718015))
runway_vw.682|682|SSR|03/21|1500|18|HOR|ILE|561|POLYGON ((-60.14670905154482 -35.82871374139901, -60.1465309483012 -35.82878625847481, -60.1539609373855 -35.84088626346276, -60.15413906246153 -35.84081373641189, -60.14670905154482 -35.82871374139901))
runway_vw.487|487|MCO|05/23|1150|39|TIE|NIL|409|POLYGON ((-68.0650383026315 -40.8128599294866, -68.06482169687571 -40.81316007040245, -68.07901171874701 -40.81907008381277, -68.07922828076025 -40.81876991607636, -68.0650383026315 -40.8128599294866))
runway_vw.748|748|VLL|17/35|799|30|TIE|NIL|615|POLYGON ((-59.409565216931846 -31.695612110958137, -59.40987478317766 -31.695667888834475, -59.411614771677606 -31.68860788730639, -59.41130522843198 -31.688552112486224, -59.409565216931846 -31.695612110958137))
runway_vw.749|749|VMA|04/22|800|17|TIE|NIL|640|POLYGON ((-64.41046570805341 -33.9412623172598, -64.41060229187696 -33.94117368270309, -64.40501729022237 -33.93519468580792, -64.404880709708 -33.93528331415498, -64.41046570805341 -33.9412623172598))
runway_vw.750|750|VMK|18/36|880|18|TIE|NIL|616|POLYGON ((-64.37131436418173 -33.93906579493335, -64.37111963581884 -33.93906420498896, -64.37102662680172 -33.94697720513887, -64.37122137319882 -33.94697879478345, -64.37131436418173 -33.93906579493335))
runway_vw.168|168|ENV|14/32|1300|20|ASF|ILE|147|POLYGON ((-58.81425345501916 -27.591425244953538, -58.81439454506854 -27.591554755004235, -58.82385354480562 -27.58337375025179, -58.82371245528217 -27.583244249705913, -58.81425345501916 -27.591425244953538))
runway_vw.172|172|ERT|06/24|1550|18|ASF|ILE|150|POLYGON ((-65.36014968483616 -33.9969642562923, -65.36003231510308 -33.99709374366719, -65.37298132009157 -34.00523474959317, -65.37309867984848 -34.005105250365816, -65.36014968483616 -33.9969642562923))
runway_vw.177|177|EVC|04/22|1440|30|TIE|NIL|154|POLYGON ((-56.06811429679862 -28.035157915349746, -56.06783970305442 -28.03527608450887, -56.07418769139047 -28.046888090486384, -56.074462308462444 -28.04676990937221, -56.06811429679862 -28.035157915349746))
